"Step","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"364","0.182","0.182","0.182","0.317","0.317","0.317","0.322","0.322","0.322","0.407","0.407","0.407","0.492","0.492","0.492","0.488","0.488","0.488","0.533","0.533","0.533"
"365","0.126","0.126","0.126","0.362","0.362","0.362","0.297","0.297","0.297","0.433","0.433","0.433","0.509","0.509","0.509","0.528","0.528","0.528","0.557","0.557","0.557"
"366","0.162","0.162","0.162","0.347","0.347","0.347","0.306","0.306","0.306","0.398","0.398","0.398","0.498","0.498","0.498","0.496","0.496","0.496","0.545","0.545","0.545"
"367","0.208","0.208","0.208","0.332","0.332","0.332","0.309","0.309","0.309","0.42","0.42","0.42","0.509","0.509","0.509","0.507","0.507","0.507","0.515","0.515","0.515"
"368","0.134","0.134","0.134","0.324","0.324","0.324","0.303","0.303","0.303","0.4","0.4","0.4","0.512","0.512","0.512","0.503","0.503","0.503","0.537","0.537","0.537"
"369","0.154","0.154","0.154","0.315","0.315","0.315","0.314","0.314","0.314","0.399","0.399","0.399","0.48","0.48","0.48","0.516","0.516","0.516","0.576","0.576","0.576"
"370","0.101","0.101","0.101","0.329","0.329","0.329","0.329","0.329","0.329","0.403","0.403","0.403","0.497","0.497","0.497","0.486","0.486","0.486","0.517","0.517","0.517"
"371","0.15","0.15","0.15","0.322","0.322","0.322","0.311","0.311","0.311","0.35","0.35","0.35","0.471","0.471","0.471","0.493","0.493","0.493","0.549","0.549","0.549"
"372","0.131","0.131","0.131","0.314","0.314","0.314","0.289","0.289","0.289","0.341","0.341","0.341","0.473","0.473","0.473","0.506","0.506","0.506","0.541","0.541","0.541"
"373","0.147","0.147","0.147","0.337","0.337","0.337","0.309","0.309","0.309","0.413","0.413","0.413","0.51","0.51","0.51","0.539","0.539","0.539","0.574","0.574","0.574"
"374","0.145","0.145","0.145","0.336","0.336","0.336","0.312","0.312","0.312","0.361","0.361","0.361","0.49","0.49","0.49","0.524","0.524","0.524","0.529","0.529","0.529"
"375","0.131","0.131","0.131","0.326","0.326","0.326","0.326","0.326","0.326","0.42","0.42","0.42","0.494","0.494","0.494","0.512","0.512","0.512","0.551","0.551","0.551"
"376","0.175","0.175","0.175","0.318","0.318","0.318","0.329","0.329","0.329","0.412","0.412","0.412","0.488","0.488","0.488","0.533","0.533","0.533","0.563","0.563","0.563"
"377","0.161","0.161","0.161","0.327","0.327","0.327","0.302","0.302","0.302","0.386","0.386","0.386","0.458","0.458","0.458","0.517","0.517","0.517","0.561","0.561","0.561"
"378","0.177","0.177","0.177","0.312","0.312","0.312","0.342","0.342","0.342","0.415","0.415","0.415","0.486","0.486","0.486","0.524","0.524","0.524","0.575","0.575","0.575"
"379","0.139","0.139","0.139","0.35","0.35","0.35","0.329","0.329","0.329","0.456","0.456","0.456","0.511","0.511","0.511","0.515","0.515","0.515","0.53","0.53","0.53"
"380","0.15","0.15","0.15","0.332","0.332","0.332","0.324","0.324","0.324","0.362","0.362","0.362","0.513","0.513","0.513","0.514","0.514","0.514","0.542","0.542","0.542"
"381","0.156","0.156","0.156","0.359","0.359","0.359","0.335","0.335","0.335","0.398","0.398","0.398","0.547","0.547","0.547","0.529","0.529","0.529","0.558","0.558","0.558"
"382","0.146","0.146","0.146","0.338","0.338","0.338","0.314","0.314","0.314","0.434","0.434","0.434","0.494","0.494","0.494","0.497","0.497","0.497","0.542","0.542","0.542"
"383","0.195","0.195","0.195","0.338","0.338","0.338","0.342","0.342","0.342","0.425","0.425","0.425","0.523","0.523","0.523","0.525","0.525","0.525","0.55","0.55","0.55"
"384","0.175","0.175","0.175","0.327","0.327","0.327","0.316","0.316","0.316","0.387","0.387","0.387","0.494","0.494","0.494","0.519","0.519","0.519","0.563","0.563","0.563"
"385","0.195","0.195","0.195","0.364","0.364","0.364","0.305","0.305","0.305","0.409","0.409","0.409","0.489","0.489","0.489","0.511","0.511","0.511","0.523","0.523","0.523"
"386","0.139","0.139","0.139","0.349","0.349","0.349","0.296","0.296","0.296","0.353","0.353","0.353","0.483","0.483","0.483","0.505","0.505","0.505","0.552","0.552","0.552"
"387","0.178","0.178","0.178","0.347","0.347","0.347","0.29","0.29","0.29","0.393","0.393","0.393","0.52","0.52","0.52","0.529","0.529","0.529","0.56","0.56","0.56"
"388","0.168","0.168","0.168","0.346","0.346","0.346","0.31","0.31","0.31","0.337","0.337","0.337","0.506","0.506","0.506","0.522","0.522","0.522","0.55","0.55","0.55"
"389","0.135","0.135","0.135","0.37","0.37","0.37","0.334","0.334","0.334","0.389","0.389","0.389","0.523","0.523","0.523","0.495","0.495","0.495","0.534","0.534","0.534"
"390","0.206","0.206","0.206","0.318","0.318","0.318","0.315","0.315","0.315","0.352","0.352","0.352","0.496","0.496","0.496","0.472","0.472","0.472","0.501","0.501","0.501"
"391","0.191","0.191","0.191","0.354","0.354","0.354","0.316","0.316","0.316","0.441","0.441","0.441","0.487","0.487","0.487","0.526","0.526","0.526","0.574","0.574","0.574"
"392","0.166","0.166","0.166","0.346","0.346","0.346","0.325","0.325","0.325","0.43","0.43","0.43","0.493","0.493","0.493","0.515","0.515","0.515","0.555","0.555","0.555"
"393","0.147","0.147","0.147","0.349","0.349","0.349","0.341","0.341","0.341","0.44","0.44","0.44","0.523","0.523","0.523","0.505","0.505","0.505","0.537","0.537","0.537"
"394","0.161","0.161","0.161","0.357","0.357","0.357","0.304","0.304","0.304","0.421","0.421","0.421","0.531","0.531","0.531","0.521","0.521","0.521","0.551","0.551","0.551"
"395","0.161","0.161","0.161","0.349","0.349","0.349","0.291","0.291","0.291","0.436","0.436","0.436","0.52","0.52","0.52","0.539","0.539","0.539","0.545","0.545","0.545"
"396","0.177","0.177","0.177","0.337","0.337","0.337","0.332","0.332","0.332","0.336","0.336","0.336","0.515","0.515","0.515","0.5","0.5","0.5","0.543","0.543","0.543"
"397","0.177","0.177","0.177","0.354","0.354","0.354","0.338","0.338","0.338","0.399","0.399","0.399","0.495","0.495","0.495","0.539","0.539","0.539","0.537","0.537","0.537"
"398","0.132","0.132","0.132","0.335","0.335","0.335","0.33","0.33","0.33","0.387","0.387","0.387","0.502","0.502","0.502","0.508","0.508","0.508","0.545","0.545","0.545"
"399","0.159","0.159","0.159","0.342","0.342","0.342","0.329","0.329","0.329","0.375","0.375","0.375","0.509","0.509","0.509","0.53","0.53","0.53","0.576","0.576","0.576"
"400","0.167","0.167","0.167","0.36","0.36","0.36","0.335","0.335","0.335","0.402","0.402","0.402","0.514","0.514","0.514","0.481","0.481","0.481","0.521","0.521","0.521"
"401","0.164","0.164","0.164","0.35","0.35","0.35","0.349","0.349","0.349","0.356","0.356","0.356","0.486","0.486","0.486","0.518","0.518","0.518","0.521","0.521","0.521"
"402","0.147","0.147","0.147","0.352","0.352","0.352","0.338","0.338","0.338","0.38","0.38","0.38","0.497","0.497","0.497","0.527","0.527","0.527","0.55","0.55","0.55"
"403","0.164","0.164","0.164","0.362","0.362","0.362","0.364","0.364","0.364","0.442","0.442","0.442","0.509","0.509","0.509","0.514","0.514","0.514","0.542","0.542","0.542"
"404","0.174","0.174","0.174","0.358","0.358","0.358","0.341","0.341","0.341","0.405","0.405","0.405","0.51","0.51","0.51","0.489","0.489","0.489","0.515","0.515","0.515"
"405","0.182","0.182","0.182","0.352","0.352","0.352","0.343","0.343","0.343","0.426","0.426","0.426","0.492","0.492","0.492","0.535","0.535","0.535","0.548","0.548","0.548"
"406","0.176","0.176","0.176","0.359","0.359","0.359","0.325","0.325","0.325","0.46","0.46","0.46","0.484","0.484","0.484","0.525","0.525","0.525","0.562","0.562","0.562"
"407","0.17","0.17","0.17","0.341","0.341","0.341","0.318","0.318","0.318","0.348","0.348","0.348","0.519","0.519","0.519","0.492","0.492","0.492","0.536","0.536","0.536"
"408","0.209","0.209","0.209","0.361","0.361","0.361","0.357","0.357","0.357","0.382","0.382","0.382","0.486","0.486","0.486","0.501","0.501","0.501","0.551","0.551","0.551"
"409","0.155","0.155","0.155","0.346","0.346","0.346","0.354","0.354","0.354","0.419","0.419","0.419","0.495","0.495","0.495","0.518","0.518","0.518","0.536","0.536","0.536"
"410","0.171","0.171","0.171","0.354","0.354","0.354","0.351","0.351","0.351","0.482","0.482","0.482","0.534","0.534","0.534","0.521","0.521","0.521","0.546","0.546","0.546"
"411","0.14","0.14","0.14","0.349","0.349","0.349","0.35","0.35","0.35","0.385","0.385","0.385","0.491","0.491","0.491","0.507","0.507","0.507","0.557","0.557","0.557"
"412","0.213","0.213","0.213","0.335","0.335","0.335","0.336","0.336","0.336","0.435","0.435","0.435","0.509","0.509","0.509","0.507","0.507","0.507","0.542","0.542","0.542"
"413","0.144","0.144","0.144","0.381","0.381","0.381","0.324","0.324","0.324","0.41","0.41","0.41","0.504","0.504","0.504","0.463","0.463","0.463","0.537","0.537","0.537"
"414","0.148","0.148","0.148","0.353","0.353","0.353","0.321","0.321","0.321","0.426","0.426","0.426","0.492","0.492","0.492","0.513","0.513","0.513","0.543","0.543","0.543"
"415","0.167","0.167","0.167","0.358","0.358","0.358","0.345","0.345","0.345","0.391","0.391","0.391","0.482","0.482","0.482","0.512","0.512","0.512","0.555","0.555","0.555"
"416","0.176","0.176","0.176","0.345","0.345","0.345","0.367","0.367","0.367","0.441","0.441","0.441","0.504","0.504","0.504","0.519","0.519","0.519","0.547","0.547","0.547"
"417","0.18","0.18","0.18","0.321","0.321","0.321","0.336","0.336","0.336","0.434","0.434","0.434","0.503","0.503","0.503","0.52","0.52","0.52","0.529","0.529","0.529"
"418","0.139","0.139","0.139","0.371","0.371","0.371","0.367","0.367","0.367","0.41","0.41","0.41","0.517","0.517","0.517","0.509","0.509","0.509","0.526","0.526","0.526"
"419","0.198","0.198","0.198","0.358","0.358","0.358","0.361","0.361","0.361","0.387","0.387","0.387","0.52","0.52","0.52","0.545","0.545","0.545","0.548","0.548","0.548"
"420","0.179","0.179","0.179","0.378","0.378","0.378","0.322","0.322","0.322","0.412","0.412","0.412","0.51","0.51","0.51","0.535","0.535","0.535","0.543","0.543","0.543"
"421","0.174","0.174","0.174","0.338","0.338","0.338","0.372","0.372","0.372","0.42","0.42","0.42","0.5","0.5","0.5","0.511","0.511","0.511","0.528","0.528","0.528"
"422","0.169","0.169","0.169","0.361","0.361","0.361","0.354","0.354","0.354","0.364","0.364","0.364","0.493","0.493","0.493","0.533","0.533","0.533","0.564","0.564","0.564"
"423","0.158","0.158","0.158","0.363","0.363","0.363","0.351","0.351","0.351","0.375","0.375","0.375","0.498","0.498","0.498","0.511","0.511","0.511","0.53","0.53","0.53"
"424","0.215","0.215","0.215","0.358","0.358","0.358","0.341","0.341","0.341","0.447","0.447","0.447","0.517","0.517","0.517","0.524","0.524","0.524","0.53","0.53","0.53"
"425","0.157","0.157","0.157","0.364","0.364","0.364","0.331","0.331","0.331","0.38","0.38","0.38","0.492","0.492","0.492","0.536","0.536","0.536","0.548","0.548","0.548"
"426","0.158","0.158","0.158","0.394","0.394","0.394","0.337","0.337","0.337","0.428","0.428","0.428","0.54","0.54","0.54","0.519","0.519","0.519","0.549","0.549","0.549"
"427","0.188","0.188","0.188","0.365","0.365","0.365","0.359","0.359","0.359","0.407","0.407","0.407","0.487","0.487","0.487","0.533","0.533","0.533","0.541","0.541","0.541"
"428","0.199","0.199","0.199","0.356","0.356","0.356","0.353","0.353","0.353","0.408","0.408","0.408","0.509","0.509","0.509","0.507","0.507","0.507","0.549","0.549","0.549"
"429","0.166","0.166","0.166","0.382","0.382","0.382","0.354","0.354","0.354","0.401","0.401","0.401","0.503","0.503","0.503","0.516","0.516","0.516","0.542","0.542","0.542"
"430","0.187","0.187","0.187","0.355","0.355","0.355","0.345","0.345","0.345","0.404","0.404","0.404","0.483","0.483","0.483","0.518","0.518","0.518","0.546","0.546","0.546"
"431","0.206","0.206","0.206","0.366","0.366","0.366","0.36","0.36","0.36","0.388","0.388","0.388","0.475","0.475","0.475","0.495","0.495","0.495","0.505","0.505","0.505"
"432","0.139","0.139","0.139","0.366","0.366","0.366","0.344","0.344","0.344","0.432","0.432","0.432","0.503","0.503","0.503","0.493","0.493","0.493","0.543","0.543","0.543"
"433","0.191","0.191","0.191","0.376","0.376","0.376","0.353","0.353","0.353","0.474","0.474","0.474","0.505","0.505","0.505","0.531","0.531","0.531","0.55","0.55","0.55"
"434","0.194","0.194","0.194","0.375","0.375","0.375","0.352","0.352","0.352","0.428","0.428","0.428","0.504","0.504","0.504","0.498","0.498","0.498","0.539","0.539","0.539"
"435","0.229","0.229","0.229","0.372","0.372","0.372","0.336","0.336","0.336","0.426","0.426","0.426","0.513","0.513","0.513","0.512","0.512","0.512","0.555","0.555","0.555"
"436","0.189","0.189","0.189","0.374","0.374","0.374","0.36","0.36","0.36","0.428","0.428","0.428","0.482","0.482","0.482","0.517","0.517","0.517","0.555","0.555","0.555"
"437","0.192","0.192","0.192","0.34","0.34","0.34","0.358","0.358","0.358","0.364","0.364","0.364","0.464","0.464","0.464","0.522","0.522","0.522","0.547","0.547","0.547"
"438","0.213","0.213","0.213","0.37","0.37","0.37","0.348","0.348","0.348","0.413","0.413","0.413","0.519","0.519","0.519","0.512","0.512","0.512","0.551","0.551","0.551"
"439","0.157","0.157","0.157","0.363","0.363","0.363","0.364","0.364","0.364","0.458","0.458","0.458","0.518","0.518","0.518","0.505","0.505","0.505","0.557","0.557","0.557"
"440","0.181","0.181","0.181","0.375","0.375","0.375","0.369","0.369","0.369","0.363","0.363","0.363","0.52","0.52","0.52","0.517","0.517","0.517","0.558","0.558","0.558"
"441","0.182","0.182","0.182","0.364","0.364","0.364","0.353","0.353","0.353","0.411","0.411","0.411","0.483","0.483","0.483","0.547","0.547","0.547","0.558","0.558","0.558"
"442","0.242","0.242","0.242","0.354","0.354","0.354","0.344","0.344","0.344","0.392","0.392","0.392","0.476","0.476","0.476","0.507","0.507","0.507","0.52","0.52","0.52"
"443","0.238","0.238","0.238","0.338","0.338","0.338","0.367","0.367","0.367","0.391","0.391","0.391","0.488","0.488","0.488","0.536","0.536","0.536","0.55","0.55","0.55"
"444","0.178","0.178","0.178","0.383","0.383","0.383","0.36","0.36","0.36","0.413","0.413","0.413","0.513","0.513","0.513","0.513","0.513","0.513","0.544","0.544","0.544"
"445","0.221","0.221","0.221","0.378","0.378","0.378","0.349","0.349","0.349","0.44","0.44","0.44","0.48","0.48","0.48","0.541","0.541","0.541","0.558","0.558","0.558"
"446","0.133","0.133","0.133","0.385","0.385","0.385","0.347","0.347","0.347","0.389","0.389","0.389","0.507","0.507","0.507","0.518","0.518","0.518","0.546","0.546","0.546"
"447","0.248","0.248","0.248","0.392","0.392","0.392","0.358","0.358","0.358","0.398","0.398","0.398","0.488","0.488","0.488","0.51","0.51","0.51","0.551","0.551","0.551"
"448","0.218","0.218","0.218","0.374","0.374","0.374","0.368","0.368","0.368","0.38","0.38","0.38","0.485","0.485","0.485","0.485","0.485","0.485","0.541","0.541","0.541"
"449","0.177","0.177","0.177","0.417","0.417","0.417","0.374","0.374","0.374","0.402","0.402","0.402","0.511","0.511","0.511","0.511","0.511","0.511","0.55","0.55","0.55"
"450","0.18","0.18","0.18","0.37","0.37","0.37","0.354","0.354","0.354","0.395","0.395","0.395","0.532","0.532","0.532","0.488","0.488","0.488","0.524","0.524","0.524"
"451","0.138","0.138","0.138","0.396","0.396","0.396","0.378","0.378","0.378","0.388","0.388","0.388","0.479","0.479","0.479","0.522","0.522","0.522","0.559","0.559","0.559"
"452","0.173","0.173","0.173","0.369","0.369","0.369","0.369","0.369","0.369","0.46","0.46","0.46","0.5","0.5","0.5","0.541","0.541","0.541","0.564","0.564","0.564"
"453","0.204","0.204","0.204","0.359","0.359","0.359","0.367","0.367","0.367","0.347","0.347","0.347","0.492","0.492","0.492","0.499","0.499","0.499","0.556","0.556","0.556"
"454","0.215","0.215","0.215","0.377","0.377","0.377","0.401","0.401","0.401","0.405","0.405","0.405","0.533","0.533","0.533","0.529","0.529","0.529","0.561","0.561","0.561"
"455","0.172","0.172","0.172","0.386","0.386","0.386","0.395","0.395","0.395","0.43","0.43","0.43","0.515","0.515","0.515","0.512","0.512","0.512","0.547","0.547","0.547"
"456","0.172","0.172","0.172","0.41","0.41","0.41","0.358","0.358","0.358","0.38","0.38","0.38","0.497","0.497","0.497","0.508","0.508","0.508","0.551","0.551","0.551"
"457","0.175","0.175","0.175","0.396","0.396","0.396","0.391","0.391","0.391","0.384","0.384","0.384","0.504","0.504","0.504","0.497","0.497","0.497","0.558","0.558","0.558"
"458","0.139","0.139","0.139","0.421","0.421","0.421","0.362","0.362","0.362","0.44","0.44","0.44","0.533","0.533","0.533","0.511","0.511","0.511","0.553","0.553","0.553"
"459","0.193","0.193","0.193","0.353","0.353","0.353","0.356","0.356","0.356","0.41","0.41","0.41","0.492","0.492","0.492","0.515","0.515","0.515","0.541","0.541","0.541"
"460","0.176","0.176","0.176","0.379","0.379","0.379","0.36","0.36","0.36","0.412","0.412","0.412","0.504","0.504","0.504","0.53","0.53","0.53","0.553","0.553","0.553"
"461","0.222","0.222","0.222","0.381","0.381","0.381","0.372","0.372","0.372","0.415","0.415","0.415","0.487","0.487","0.487","0.497","0.497","0.497","0.538","0.538","0.538"
"462","0.171","0.171","0.171","0.414","0.414","0.414","0.376","0.376","0.376","0.402","0.402","0.402","0.517","0.517","0.517","0.51","0.51","0.51","0.555","0.555","0.555"
"463","0.151","0.151","0.151","0.405","0.405","0.405","0.383","0.383","0.383","0.425","0.425","0.425","0.522","0.522","0.522","0.515","0.515","0.515","0.577","0.577","0.577"
"464","0.183","0.183","0.183","0.391","0.391","0.391","0.391","0.391","0.391","0.449","0.449","0.449","0.501","0.501","0.501","0.537","0.537","0.537","0.575","0.575","0.575"
"465","0.241","0.241","0.241","0.387","0.387","0.387","0.387","0.387","0.387","0.391","0.391","0.391","0.498","0.498","0.498","0.506","0.506","0.506","0.551","0.551","0.551"
"466","0.206","0.206","0.206","0.381","0.381","0.381","0.395","0.395","0.395","0.405","0.405","0.405","0.486","0.486","0.486","0.497","0.497","0.497","0.56","0.56","0.56"
"467","0.207","0.207","0.207","0.369","0.369","0.369","0.396","0.396","0.396","0.403","0.403","0.403","0.512","0.512","0.512","0.51","0.51","0.51","0.54","0.54","0.54"
"468","0.233","0.233","0.233","0.397","0.397","0.397","0.383","0.383","0.383","0.38","0.38","0.38","0.499","0.499","0.499","0.518","0.518","0.518","0.553","0.553","0.553"
"469","0.128","0.128","0.128","0.373","0.373","0.373","0.358","0.358","0.358","0.449","0.449","0.449","0.491","0.491","0.491","0.524","0.524","0.524","0.552","0.552","0.552"
"470","0.211","0.211","0.211","0.41","0.41","0.41","0.384","0.384","0.384","0.409","0.409","0.409","0.512","0.512","0.512","0.509","0.509","0.509","0.529","0.529","0.529"
"471","0.214","0.214","0.214","0.374","0.374","0.374","0.394","0.394","0.394","0.445","0.445","0.445","0.482","0.482","0.482","0.523","0.523","0.523","0.537","0.537","0.537"
"472","0.298","0.298","0.298","0.401","0.401","0.401","0.388","0.388","0.388","0.394","0.394","0.394","0.503","0.503","0.503","0.493","0.493","0.493","0.528","0.528","0.528"
"473","0.248","0.248","0.248","0.371","0.371","0.371","0.409","0.409","0.409","0.432","0.432","0.432","0.488","0.488","0.488","0.519","0.519","0.519","0.564","0.564","0.564"
"474","0.255","0.255","0.255","0.374","0.374","0.374","0.373","0.373","0.373","0.452","0.452","0.452","0.509","0.509","0.509","0.498","0.498","0.498","0.541","0.541","0.541"
"475","0.162","0.162","0.162","0.378","0.378","0.378","0.359","0.359","0.359","0.461","0.461","0.461","0.492","0.492","0.492","0.504","0.504","0.504","0.536","0.536","0.536"
"476","0.207","0.207","0.207","0.391","0.391","0.391","0.37","0.37","0.37","0.42","0.42","0.42","0.5","0.5","0.5","0.518","0.518","0.518","0.553","0.553","0.553"
"477","0.205","0.205","0.205","0.421","0.421","0.421","0.375","0.375","0.375","0.436","0.436","0.436","0.491","0.491","0.491","0.511","0.511","0.511","0.544","0.544","0.544"
"478","0.201","0.201","0.201","0.403","0.403","0.403","0.365","0.365","0.365","0.411","0.411","0.411","0.48","0.48","0.48","0.516","0.516","0.516","0.553","0.553","0.553"
"479","0.217","0.217","0.217","0.407","0.407","0.407","0.401","0.401","0.401","0.423","0.423","0.423","0.499","0.499","0.499","0.49","0.49","0.49","0.546","0.546","0.546"
"480","0.153","0.153","0.153","0.392","0.392","0.392","0.383","0.383","0.383","0.371","0.371","0.371","0.498","0.498","0.498","0.516","0.516","0.516","0.55","0.55","0.55"
"481","0.187","0.187","0.187","0.399","0.399","0.399","0.389","0.389","0.389","0.448","0.448","0.448","0.516","0.516","0.516","0.518","0.518","0.518","0.549","0.549","0.549"
"482","0.171","0.171","0.171","0.404","0.404","0.404","0.353","0.353","0.353","0.446","0.446","0.446","0.53","0.53","0.53","0.524","0.524","0.524","0.528","0.528","0.528"
"483","0.176","0.176","0.176","0.41","0.41","0.41","0.376","0.376","0.376","0.451","0.451","0.451","0.512","0.512","0.512","0.518","0.518","0.518","0.557","0.557","0.557"
"484","0.252","0.252","0.252","0.403","0.403","0.403","0.396","0.396","0.396","0.403","0.403","0.403","0.525","0.525","0.525","0.502","0.502","0.502","0.537","0.537","0.537"
"485","0.18","0.18","0.18","0.403","0.403","0.403","0.365","0.365","0.365","0.384","0.384","0.384","0.523","0.523","0.523","0.485","0.485","0.485","0.531","0.531","0.531"
"486","0.226","0.226","0.226","0.402","0.402","0.402","0.407","0.407","0.407","0.402","0.402","0.402","0.52","0.52","0.52","0.47","0.47","0.47","0.523","0.523","0.523"
"487","0.245","0.245","0.245","0.407","0.407","0.407","0.405","0.405","0.405","0.432","0.432","0.432","0.519","0.519","0.519","0.522","0.522","0.522","0.582","0.582","0.582"
"488","0.173","0.173","0.173","0.4","0.4","0.4","0.391","0.391","0.391","0.418","0.418","0.418","0.502","0.502","0.502","0.504","0.504","0.504","0.561","0.561","0.561"
"489","0.22","0.22","0.22","0.389","0.389","0.389","0.363","0.363","0.363","0.413","0.413","0.413","0.521","0.521","0.521","0.496","0.496","0.496","0.531","0.531","0.531"
"490","0.236","0.236","0.236","0.425","0.425","0.425","0.388","0.388","0.388","0.42","0.42","0.42","0.501","0.501","0.501","0.497","0.497","0.497","0.522","0.522","0.522"
"491","0.256","0.256","0.256","0.414","0.414","0.414","0.408","0.408","0.408","0.452","0.452","0.452","0.505","0.505","0.505","0.522","0.522","0.522","0.549","0.549","0.549"
"492","0.234","0.234","0.234","0.391","0.391","0.391","0.399","0.399","0.399","0.416","0.416","0.416","0.514","0.514","0.514","0.522","0.522","0.522","0.528","0.528","0.528"
"493","0.213","0.213","0.213","0.373","0.373","0.373","0.415","0.415","0.415","0.425","0.425","0.425","0.482","0.482","0.482","0.53","0.53","0.53","0.554","0.554","0.554"
"494","0.213","0.213","0.213","0.423","0.423","0.423","0.406","0.406","0.406","0.455","0.455","0.455","0.499","0.499","0.499","0.512","0.512","0.512","0.565","0.565","0.565"
"495","0.194","0.194","0.194","0.407","0.407","0.407","0.412","0.412","0.412","0.432","0.432","0.432","0.496","0.496","0.496","0.479","0.479","0.479","0.536","0.536","0.536"
"496","0.158","0.158","0.158","0.416","0.416","0.416","0.389","0.389","0.389","0.446","0.446","0.446","0.495","0.495","0.495","0.478","0.478","0.478","0.545","0.545","0.545"
"497","0.235","0.235","0.235","0.38","0.38","0.38","0.369","0.369","0.369","0.4","0.4","0.4","0.488","0.488","0.488","0.515","0.515","0.515","0.531","0.531","0.531"
"498","0.207","0.207","0.207","0.414","0.414","0.414","0.378","0.378","0.378","0.423","0.423","0.423","0.497","0.497","0.497","0.506","0.506","0.506","0.537","0.537","0.537"
"499","0.226","0.226","0.226","0.417","0.417","0.417","0.387","0.387","0.387","0.429","0.429","0.429","0.533","0.533","0.533","0.491","0.491","0.491","0.539","0.539","0.539"
"500","0.209","0.209","0.209","0.408","0.408","0.408","0.401","0.401","0.401","0.418","0.418","0.418","0.512","0.512","0.512","0.507","0.507","0.507","0.519","0.519","0.519"
"501","0.171","0.171","0.171","0.422","0.422","0.422","0.406","0.406","0.406","0.398","0.398","0.398","0.508","0.508","0.508","0.505","0.505","0.505","0.552","0.552","0.552"
"502","0.252","0.252","0.252","0.417","0.417","0.417","0.404","0.404","0.404","0.338","0.338","0.338","0.509","0.509","0.509","0.489","0.489","0.489","0.532","0.532","0.532"
"503","0.23","0.23","0.23","0.405","0.405","0.405","0.398","0.398","0.398","0.423","0.423","0.423","0.48","0.48","0.48","0.513","0.513","0.513","0.554","0.554","0.554"
"504","0.197","0.197","0.197","0.415","0.415","0.415","0.378","0.378","0.378","0.403","0.403","0.403","0.514","0.514","0.514","0.505","0.505","0.505","0.552","0.552","0.552"
"505","0.164","0.164","0.164","0.396","0.396","0.396","0.414","0.414","0.414","0.457","0.457","0.457","0.501","0.501","0.501","0.48","0.48","0.48","0.529","0.529","0.529"
"506","0.26","0.26","0.26","0.424","0.424","0.424","0.39","0.39","0.39","0.397","0.397","0.397","0.518","0.518","0.518","0.483","0.483","0.483","0.543","0.543","0.543"
"507","0.232","0.232","0.232","0.411","0.411","0.411","0.396","0.396","0.396","0.431","0.431","0.431","0.493","0.493","0.493","0.479","0.479","0.479","0.525","0.525","0.525"
"508","0.249","0.249","0.249","0.419","0.419","0.419","0.392","0.392","0.392","0.41","0.41","0.41","0.494","0.494","0.494","0.482","0.482","0.482","0.543","0.543","0.543"
"509","0.217","0.217","0.217","0.421","0.421","0.421","0.386","0.386","0.386","0.45","0.45","0.45","0.525","0.525","0.525","0.486","0.486","0.486","0.561","0.561","0.561"
