"Step","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1000.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda1.0-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MIN","zerofl-a1.0-s0.9-cifar100_lda0.1-FedAvgNZ-e1-lr0.5 - test_accuracy__MAX","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","power_swat-a1.25-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda1.0-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.9-cifar100_lda0.1-FedAvg-e1-lr0.5 - test_accuracy__MAX","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MIN","powerprop-a1.0-s0.0-cifar100_lda1000.0-FedAvg-e1-lr0.5 - test_accuracy__MAX"
"347","0.273","0.273","0.273","0.342","0.342","0.342","0.165","0.165","0.165","0.559","0.559","0.559","0.507","0.507","0.507","0.478","0.478","0.478","0.409","0.409","0.409","0.545","0.545","0.545"
"348","0.297","0.297","0.297","0.31","0.31","0.31","0.132","0.132","0.132","0.537","0.537","0.537","0.495","0.495","0.495","0.499","0.499","0.499","0.341","0.341","0.341","0.54","0.54","0.54"
"349","0.306","0.306","0.306","0.301","0.301","0.301","0.176","0.176","0.176","0.541","0.541","0.541","0.494","0.494","0.494","0.512","0.512","0.512","0.39","0.39","0.39","0.52","0.52","0.52"
"350","0.275","0.275","0.275","0.31","0.31","0.31","0.17","0.17","0.17","0.54","0.54","0.54","0.475","0.475","0.475","0.474","0.474","0.474","0.407","0.407","0.407","0.535","0.535","0.535"
"351","0.316","0.316","0.316","0.279","0.279","0.279","0.192","0.192","0.192","0.54","0.54","0.54","0.52","0.52","0.52","0.456","0.456","0.456","0.312","0.312","0.312","0.55","0.55","0.55"
"352","0.297","0.297","0.297","0.33","0.33","0.33","0.152","0.152","0.152","0.548","0.548","0.548","0.522","0.522","0.522","0.496","0.496","0.496","0.361","0.361","0.361","0.529","0.529","0.529"
"353","0.298","0.298","0.298","0.312","0.312","0.312","0.117","0.117","0.117","0.543","0.543","0.543","0.5","0.5","0.5","0.484","0.484","0.484","0.37","0.37","0.37","0.535","0.535","0.535"
"354","0.273","0.273","0.273","0.32","0.32","0.32","0.122","0.122","0.122","0.56","0.56","0.56","0.511","0.511","0.511","0.469","0.469","0.469","0.359","0.359","0.359","0.542","0.542","0.542"
"355","0.325","0.325","0.325","0.325","0.325","0.325","0.164","0.164","0.164","0.572","0.572","0.572","0.498","0.498","0.498","0.5","0.5","0.5","0.367","0.367","0.367","0.559","0.559","0.559"
"356","0.314","0.314","0.314","0.322","0.322","0.322","0.144","0.144","0.144","0.54","0.54","0.54","0.477","0.477","0.477","0.509","0.509","0.509","0.32","0.32","0.32","0.548","0.548","0.548"
"357","0.3","0.3","0.3","0.31","0.31","0.31","0.191","0.191","0.191","0.539","0.539","0.539","0.495","0.495","0.495","0.481","0.481","0.481","0.348","0.348","0.348","0.529","0.529","0.529"
"358","0.312","0.312","0.312","0.297","0.297","0.297","0.101","0.101","0.101","0.553","0.553","0.553","0.52","0.52","0.52","0.466","0.466","0.466","0.404","0.404","0.404","0.547","0.547","0.547"
"359","0.33","0.33","0.33","0.33","0.33","0.33","0.149","0.149","0.149","0.546","0.546","0.546","0.508","0.508","0.508","0.525","0.525","0.525","0.364","0.364","0.364","0.535","0.535","0.535"
"360","0.312","0.312","0.312","0.317","0.317","0.317","0.153","0.153","0.153","0.545","0.545","0.545","0.537","0.537","0.537","0.5","0.5","0.5","0.431","0.431","0.431","0.534","0.534","0.534"
"361","0.282","0.282","0.282","0.329","0.329","0.329","0.13","0.13","0.13","0.546","0.546","0.546","0.496","0.496","0.496","0.491","0.491","0.491","0.442","0.442","0.442","0.545","0.545","0.545"
"362","0.275","0.275","0.275","0.333","0.333","0.333","0.146","0.146","0.146","0.559","0.559","0.559","0.533","0.533","0.533","0.508","0.508","0.508","0.409","0.409","0.409","0.525","0.525","0.525"
"363","0.326","0.326","0.326","0.358","0.358","0.358","0.143","0.143","0.143","0.557","0.557","0.557","0.526","0.526","0.526","0.55","0.55","0.55","0.43","0.43","0.43","0.506","0.506","0.506"
"364","0.322","0.322","0.322","0.317","0.317","0.317","0.182","0.182","0.182","0.533","0.533","0.533","0.488","0.488","0.488","0.492","0.492","0.492","0.407","0.407","0.407","0.552","0.552","0.552"
"365","0.297","0.297","0.297","0.362","0.362","0.362","0.126","0.126","0.126","0.557","0.557","0.557","0.528","0.528","0.528","0.509","0.509","0.509","0.433","0.433","0.433","0.523","0.523","0.523"
"366","0.306","0.306","0.306","0.347","0.347","0.347","0.162","0.162","0.162","0.545","0.545","0.545","0.496","0.496","0.496","0.498","0.498","0.498","0.398","0.398","0.398","0.544","0.544","0.544"
"367","0.309","0.309","0.309","0.332","0.332","0.332","0.208","0.208","0.208","0.515","0.515","0.515","0.507","0.507","0.507","0.509","0.509","0.509","0.42","0.42","0.42","0.52","0.52","0.52"
"368","0.303","0.303","0.303","0.324","0.324","0.324","0.134","0.134","0.134","0.537","0.537","0.537","0.503","0.503","0.503","0.512","0.512","0.512","0.4","0.4","0.4","0.504","0.504","0.504"
"369","0.314","0.314","0.314","0.315","0.315","0.315","0.154","0.154","0.154","0.576","0.576","0.576","0.516","0.516","0.516","0.48","0.48","0.48","0.399","0.399","0.399","0.52","0.52","0.52"
"370","0.329","0.329","0.329","0.329","0.329","0.329","0.101","0.101","0.101","0.517","0.517","0.517","0.486","0.486","0.486","0.497","0.497","0.497","0.403","0.403","0.403","0.555","0.555","0.555"
"371","0.311","0.311","0.311","0.322","0.322","0.322","0.15","0.15","0.15","0.549","0.549","0.549","0.493","0.493","0.493","0.471","0.471","0.471","0.35","0.35","0.35","0.563","0.563","0.563"
"372","0.289","0.289","0.289","0.314","0.314","0.314","0.131","0.131","0.131","0.541","0.541","0.541","0.506","0.506","0.506","0.473","0.473","0.473","0.341","0.341","0.341","0.512","0.512","0.512"
"373","0.309","0.309","0.309","0.337","0.337","0.337","0.147","0.147","0.147","0.574","0.574","0.574","0.539","0.539","0.539","0.51","0.51","0.51","0.413","0.413","0.413","0.53","0.53","0.53"
"374","0.312","0.312","0.312","0.336","0.336","0.336","0.145","0.145","0.145","0.529","0.529","0.529","0.524","0.524","0.524","0.49","0.49","0.49","0.361","0.361","0.361","0.553","0.553","0.553"
"375","0.326","0.326","0.326","0.326","0.326","0.326","0.131","0.131","0.131","0.551","0.551","0.551","0.512","0.512","0.512","0.494","0.494","0.494","0.42","0.42","0.42","0.556","0.556","0.556"
"376","0.329","0.329","0.329","0.318","0.318","0.318","0.175","0.175","0.175","0.563","0.563","0.563","0.533","0.533","0.533","0.488","0.488","0.488","0.412","0.412","0.412","0.557","0.557","0.557"
"377","0.302","0.302","0.302","0.327","0.327","0.327","0.161","0.161","0.161","0.561","0.561","0.561","0.517","0.517","0.517","0.458","0.458","0.458","0.386","0.386","0.386","0.529","0.529","0.529"
"378","0.342","0.342","0.342","0.312","0.312","0.312","0.177","0.177","0.177","0.575","0.575","0.575","0.524","0.524","0.524","0.486","0.486","0.486","0.415","0.415","0.415","0.546","0.546","0.546"
"379","0.329","0.329","0.329","0.35","0.35","0.35","0.139","0.139","0.139","0.53","0.53","0.53","0.515","0.515","0.515","0.511","0.511","0.511","0.456","0.456","0.456","0.549","0.549","0.549"
"380","0.324","0.324","0.324","0.332","0.332","0.332","0.15","0.15","0.15","0.542","0.542","0.542","0.514","0.514","0.514","0.513","0.513","0.513","0.362","0.362","0.362","0.521","0.521","0.521"
"381","0.335","0.335","0.335","0.359","0.359","0.359","0.156","0.156","0.156","0.558","0.558","0.558","0.529","0.529","0.529","0.547","0.547","0.547","0.398","0.398","0.398","0.527","0.527","0.527"
"382","0.314","0.314","0.314","0.338","0.338","0.338","0.146","0.146","0.146","0.542","0.542","0.542","0.497","0.497","0.497","0.494","0.494","0.494","0.434","0.434","0.434","0.537","0.537","0.537"
"383","0.342","0.342","0.342","0.338","0.338","0.338","0.195","0.195","0.195","0.55","0.55","0.55","0.525","0.525","0.525","0.523","0.523","0.523","0.425","0.425","0.425","0.54","0.54","0.54"
"384","0.316","0.316","0.316","0.327","0.327","0.327","0.175","0.175","0.175","0.563","0.563","0.563","0.519","0.519","0.519","0.494","0.494","0.494","0.387","0.387","0.387","0.541","0.541","0.541"
"385","0.305","0.305","0.305","0.364","0.364","0.364","0.195","0.195","0.195","0.523","0.523","0.523","0.511","0.511","0.511","0.489","0.489","0.489","0.409","0.409","0.409","0.515","0.515","0.515"
"386","0.296","0.296","0.296","0.349","0.349","0.349","0.139","0.139","0.139","0.552","0.552","0.552","0.505","0.505","0.505","0.483","0.483","0.483","0.353","0.353","0.353","0.555","0.555","0.555"
"387","0.29","0.29","0.29","0.347","0.347","0.347","0.178","0.178","0.178","0.56","0.56","0.56","0.529","0.529","0.529","0.52","0.52","0.52","0.393","0.393","0.393","0.553","0.553","0.553"
"388","0.31","0.31","0.31","0.346","0.346","0.346","0.168","0.168","0.168","0.55","0.55","0.55","0.522","0.522","0.522","0.506","0.506","0.506","0.337","0.337","0.337","0.557","0.557","0.557"
"389","0.334","0.334","0.334","0.37","0.37","0.37","0.135","0.135","0.135","0.534","0.534","0.534","0.495","0.495","0.495","0.523","0.523","0.523","0.389","0.389","0.389","0.525","0.525","0.525"
"390","0.315","0.315","0.315","0.318","0.318","0.318","0.206","0.206","0.206","0.501","0.501","0.501","0.472","0.472","0.472","0.496","0.496","0.496","0.352","0.352","0.352","0.499","0.499","0.499"
"391","0.316","0.316","0.316","0.354","0.354","0.354","0.191","0.191","0.191","0.574","0.574","0.574","0.526","0.526","0.526","0.487","0.487","0.487","0.441","0.441","0.441","0.554","0.554","0.554"
"392","0.325","0.325","0.325","0.346","0.346","0.346","0.166","0.166","0.166","0.555","0.555","0.555","0.515","0.515","0.515","0.493","0.493","0.493","0.43","0.43","0.43","0.521","0.521","0.521"
"393","0.341","0.341","0.341","0.349","0.349","0.349","0.147","0.147","0.147","0.537","0.537","0.537","0.505","0.505","0.505","0.523","0.523","0.523","0.44","0.44","0.44","0.534","0.534","0.534"
"394","0.304","0.304","0.304","0.357","0.357","0.357","0.161","0.161","0.161","0.551","0.551","0.551","0.521","0.521","0.521","0.531","0.531","0.531","0.421","0.421","0.421","0.527","0.527","0.527"
"395","0.291","0.291","0.291","0.349","0.349","0.349","0.161","0.161","0.161","0.545","0.545","0.545","0.539","0.539","0.539","0.52","0.52","0.52","0.436","0.436","0.436","0.562","0.562","0.562"
"396","0.332","0.332","0.332","0.337","0.337","0.337","0.177","0.177","0.177","0.543","0.543","0.543","0.5","0.5","0.5","0.515","0.515","0.515","0.336","0.336","0.336","0.556","0.556","0.556"
"397","0.338","0.338","0.338","0.354","0.354","0.354","0.177","0.177","0.177","0.537","0.537","0.537","0.539","0.539","0.539","0.495","0.495","0.495","0.399","0.399","0.399","0.548","0.548","0.548"
"398","0.33","0.33","0.33","0.335","0.335","0.335","0.132","0.132","0.132","0.545","0.545","0.545","0.508","0.508","0.508","0.502","0.502","0.502","0.387","0.387","0.387","0.523","0.523","0.523"
"399","0.329","0.329","0.329","0.342","0.342","0.342","0.159","0.159","0.159","0.576","0.576","0.576","0.53","0.53","0.53","0.509","0.509","0.509","0.375","0.375","0.375","0.549","0.549","0.549"
"400","0.335","0.335","0.335","0.36","0.36","0.36","0.167","0.167","0.167","0.521","0.521","0.521","0.481","0.481","0.481","0.514","0.514","0.514","0.402","0.402","0.402","0.568","0.568","0.568"
"401","0.349","0.349","0.349","0.35","0.35","0.35","0.164","0.164","0.164","0.521","0.521","0.521","0.518","0.518","0.518","0.486","0.486","0.486","0.356","0.356","0.356","0.514","0.514","0.514"
"402","0.338","0.338","0.338","0.352","0.352","0.352","0.147","0.147","0.147","0.55","0.55","0.55","0.527","0.527","0.527","0.497","0.497","0.497","0.38","0.38","0.38","0.549","0.549","0.549"
"403","0.364","0.364","0.364","0.362","0.362","0.362","0.164","0.164","0.164","0.542","0.542","0.542","0.514","0.514","0.514","0.509","0.509","0.509","0.442","0.442","0.442","0.528","0.528","0.528"
"404","0.341","0.341","0.341","0.358","0.358","0.358","0.174","0.174","0.174","0.515","0.515","0.515","0.489","0.489","0.489","0.51","0.51","0.51","0.405","0.405","0.405","0.529","0.529","0.529"
"405","0.343","0.343","0.343","0.352","0.352","0.352","0.182","0.182","0.182","0.548","0.548","0.548","0.535","0.535","0.535","0.492","0.492","0.492","0.426","0.426","0.426","0.518","0.518","0.518"
"406","0.325","0.325","0.325","0.359","0.359","0.359","0.176","0.176","0.176","0.562","0.562","0.562","0.525","0.525","0.525","0.484","0.484","0.484","0.46","0.46","0.46","0.524","0.524","0.524"
"407","0.318","0.318","0.318","0.341","0.341","0.341","0.17","0.17","0.17","0.536","0.536","0.536","0.492","0.492","0.492","0.519","0.519","0.519","0.348","0.348","0.348","0.553","0.553","0.553"
"408","0.357","0.357","0.357","0.361","0.361","0.361","0.209","0.209","0.209","0.551","0.551","0.551","0.501","0.501","0.501","0.486","0.486","0.486","0.382","0.382","0.382","0.558","0.558","0.558"
"409","0.354","0.354","0.354","0.346","0.346","0.346","0.155","0.155","0.155","0.536","0.536","0.536","0.518","0.518","0.518","0.495","0.495","0.495","0.419","0.419","0.419","0.561","0.561","0.561"
"410","0.351","0.351","0.351","0.354","0.354","0.354","0.171","0.171","0.171","0.546","0.546","0.546","0.521","0.521","0.521","0.534","0.534","0.534","0.482","0.482","0.482","0.556","0.556","0.556"
"411","0.35","0.35","0.35","0.349","0.349","0.349","0.14","0.14","0.14","0.557","0.557","0.557","0.507","0.507","0.507","0.491","0.491","0.491","0.385","0.385","0.385","0.534","0.534","0.534"
"412","0.336","0.336","0.336","0.335","0.335","0.335","0.213","0.213","0.213","0.542","0.542","0.542","0.507","0.507","0.507","0.509","0.509","0.509","0.435","0.435","0.435","0.497","0.497","0.497"
"413","0.324","0.324","0.324","0.381","0.381","0.381","0.144","0.144","0.144","0.537","0.537","0.537","0.463","0.463","0.463","0.504","0.504","0.504","0.41","0.41","0.41","0.512","0.512","0.512"
"414","0.321","0.321","0.321","0.353","0.353","0.353","0.148","0.148","0.148","0.543","0.543","0.543","0.513","0.513","0.513","0.492","0.492","0.492","0.426","0.426","0.426","0.556","0.556","0.556"
"415","0.345","0.345","0.345","0.358","0.358","0.358","0.167","0.167","0.167","0.555","0.555","0.555","0.512","0.512","0.512","0.482","0.482","0.482","0.391","0.391","0.391","0.556","0.556","0.556"
"416","0.367","0.367","0.367","0.345","0.345","0.345","0.176","0.176","0.176","0.547","0.547","0.547","0.519","0.519","0.519","0.504","0.504","0.504","0.441","0.441","0.441","0.542","0.542","0.542"
"417","0.336","0.336","0.336","0.321","0.321","0.321","0.18","0.18","0.18","0.529","0.529","0.529","0.52","0.52","0.52","0.503","0.503","0.503","0.434","0.434","0.434","0.541","0.541","0.541"
"418","0.367","0.367","0.367","0.371","0.371","0.371","0.139","0.139","0.139","0.526","0.526","0.526","0.509","0.509","0.509","0.517","0.517","0.517","0.41","0.41","0.41","0.533","0.533","0.533"
"419","0.361","0.361","0.361","0.358","0.358","0.358","0.198","0.198","0.198","0.548","0.548","0.548","0.545","0.545","0.545","0.52","0.52","0.52","0.387","0.387","0.387","0.533","0.533","0.533"
"420","0.322","0.322","0.322","0.378","0.378","0.378","0.179","0.179","0.179","0.543","0.543","0.543","0.535","0.535","0.535","0.51","0.51","0.51","0.412","0.412","0.412","0.578","0.578","0.578"
"421","0.372","0.372","0.372","0.338","0.338","0.338","0.174","0.174","0.174","0.528","0.528","0.528","0.511","0.511","0.511","0.5","0.5","0.5","0.42","0.42","0.42","0.56","0.56","0.56"
"422","0.354","0.354","0.354","0.361","0.361","0.361","0.169","0.169","0.169","0.564","0.564","0.564","0.533","0.533","0.533","0.493","0.493","0.493","0.364","0.364","0.364","0.562","0.562","0.562"
"423","0.351","0.351","0.351","0.363","0.363","0.363","0.158","0.158","0.158","0.53","0.53","0.53","0.511","0.511","0.511","0.498","0.498","0.498","0.375","0.375","0.375","0.508","0.508","0.508"
"424","0.341","0.341","0.341","0.358","0.358","0.358","0.215","0.215","0.215","0.53","0.53","0.53","0.524","0.524","0.524","0.517","0.517","0.517","0.447","0.447","0.447","0.545","0.545","0.545"
"425","0.331","0.331","0.331","0.364","0.364","0.364","0.157","0.157","0.157","0.548","0.548","0.548","0.536","0.536","0.536","0.492","0.492","0.492","0.38","0.38","0.38","0.554","0.554","0.554"
"426","0.337","0.337","0.337","0.394","0.394","0.394","0.158","0.158","0.158","0.549","0.549","0.549","0.519","0.519","0.519","0.54","0.54","0.54","0.428","0.428","0.428","0.554","0.554","0.554"
"427","0.359","0.359","0.359","0.365","0.365","0.365","0.188","0.188","0.188","0.541","0.541","0.541","0.533","0.533","0.533","0.487","0.487","0.487","0.407","0.407","0.407","0.519","0.519","0.519"
"428","0.353","0.353","0.353","0.356","0.356","0.356","0.199","0.199","0.199","0.549","0.549","0.549","0.507","0.507","0.507","0.509","0.509","0.509","0.408","0.408","0.408","0.542","0.542","0.542"
"429","0.354","0.354","0.354","0.382","0.382","0.382","0.166","0.166","0.166","0.542","0.542","0.542","0.516","0.516","0.516","0.503","0.503","0.503","0.401","0.401","0.401","0.548","0.548","0.548"
"430","0.345","0.345","0.345","0.355","0.355","0.355","0.187","0.187","0.187","0.546","0.546","0.546","0.518","0.518","0.518","0.483","0.483","0.483","0.404","0.404","0.404","0.528","0.528","0.528"
"431","0.36","0.36","0.36","0.366","0.366","0.366","0.206","0.206","0.206","0.505","0.505","0.505","0.495","0.495","0.495","0.475","0.475","0.475","0.388","0.388","0.388","0.538","0.538","0.538"
"432","0.344","0.344","0.344","0.366","0.366","0.366","0.139","0.139","0.139","0.543","0.543","0.543","0.493","0.493","0.493","0.503","0.503","0.503","0.432","0.432","0.432","0.563","0.563","0.563"
"433","0.353","0.353","0.353","0.376","0.376","0.376","0.191","0.191","0.191","0.55","0.55","0.55","0.531","0.531","0.531","0.505","0.505","0.505","0.474","0.474","0.474","0.546","0.546","0.546"
"434","0.352","0.352","0.352","0.375","0.375","0.375","0.194","0.194","0.194","0.539","0.539","0.539","0.498","0.498","0.498","0.504","0.504","0.504","0.428","0.428","0.428","0.549","0.549","0.549"
"435","0.336","0.336","0.336","0.372","0.372","0.372","0.229","0.229","0.229","0.555","0.555","0.555","0.512","0.512","0.512","0.513","0.513","0.513","0.426","0.426","0.426","0.551","0.551","0.551"
"436","0.36","0.36","0.36","0.374","0.374","0.374","0.189","0.189","0.189","0.555","0.555","0.555","0.517","0.517","0.517","0.482","0.482","0.482","0.428","0.428","0.428","0.531","0.531","0.531"
"437","0.358","0.358","0.358","0.34","0.34","0.34","0.192","0.192","0.192","0.547","0.547","0.547","0.522","0.522","0.522","0.464","0.464","0.464","0.364","0.364","0.364","0.514","0.514","0.514"
"438","0.348","0.348","0.348","0.37","0.37","0.37","0.213","0.213","0.213","0.551","0.551","0.551","0.512","0.512","0.512","0.519","0.519","0.519","0.413","0.413","0.413","0.519","0.519","0.519"
"439","0.364","0.364","0.364","0.363","0.363","0.363","0.157","0.157","0.157","0.557","0.557","0.557","0.505","0.505","0.505","0.518","0.518","0.518","0.458","0.458","0.458","0.532","0.532","0.532"
"440","0.369","0.369","0.369","0.375","0.375","0.375","0.181","0.181","0.181","0.558","0.558","0.558","0.517","0.517","0.517","0.52","0.52","0.52","0.363","0.363","0.363","0.55","0.55","0.55"
"441","0.353","0.353","0.353","0.364","0.364","0.364","0.182","0.182","0.182","0.558","0.558","0.558","0.547","0.547","0.547","0.483","0.483","0.483","0.411","0.411","0.411","0.544","0.544","0.544"
"442","0.344","0.344","0.344","0.354","0.354","0.354","0.242","0.242","0.242","0.52","0.52","0.52","0.507","0.507","0.507","0.476","0.476","0.476","0.392","0.392","0.392","0.559","0.559","0.559"
"443","0.367","0.367","0.367","0.338","0.338","0.338","0.238","0.238","0.238","0.55","0.55","0.55","0.536","0.536","0.536","0.488","0.488","0.488","0.391","0.391","0.391","0.567","0.567","0.567"
"444","0.36","0.36","0.36","0.383","0.383","0.383","0.178","0.178","0.178","0.544","0.544","0.544","0.513","0.513","0.513","0.513","0.513","0.513","0.413","0.413","0.413","0.544","0.544","0.544"
"445","0.349","0.349","0.349","0.378","0.378","0.378","0.221","0.221","0.221","0.558","0.558","0.558","0.541","0.541","0.541","0.48","0.48","0.48","0.44","0.44","0.44","0.538","0.538","0.538"
"446","0.347","0.347","0.347","0.385","0.385","0.385","0.133","0.133","0.133","0.546","0.546","0.546","0.518","0.518","0.518","0.507","0.507","0.507","0.389","0.389","0.389","0.53","0.53","0.53"
"447","0.358","0.358","0.358","0.392","0.392","0.392","0.248","0.248","0.248","0.551","0.551","0.551","0.51","0.51","0.51","0.488","0.488","0.488","0.398","0.398","0.398","0.539","0.539","0.539"
"448","0.368","0.368","0.368","0.374","0.374","0.374","0.218","0.218","0.218","0.541","0.541","0.541","0.485","0.485","0.485","0.485","0.485","0.485","0.38","0.38","0.38","0.553","0.553","0.553"
"449","0.374","0.374","0.374","0.417","0.417","0.417","0.177","0.177","0.177","0.55","0.55","0.55","0.511","0.511","0.511","0.511","0.511","0.511","0.402","0.402","0.402","0.512","0.512","0.512"
"450","0.354","0.354","0.354","0.37","0.37","0.37","0.18","0.18","0.18","0.524","0.524","0.524","0.488","0.488","0.488","0.532","0.532","0.532","0.395","0.395","0.395","0.544","0.544","0.544"
"451","0.378","0.378","0.378","0.396","0.396","0.396","0.138","0.138","0.138","0.559","0.559","0.559","0.522","0.522","0.522","0.479","0.479","0.479","0.388","0.388","0.388","0.548","0.548","0.548"
"452","0.369","0.369","0.369","0.369","0.369","0.369","0.173","0.173","0.173","0.564","0.564","0.564","0.541","0.541","0.541","0.5","0.5","0.5","0.46","0.46","0.46","0.536","0.536","0.536"
"453","0.367","0.367","0.367","0.359","0.359","0.359","0.204","0.204","0.204","0.556","0.556","0.556","0.499","0.499","0.499","0.492","0.492","0.492","0.347","0.347","0.347","0.535","0.535","0.535"
"454","0.401","0.401","0.401","0.377","0.377","0.377","0.215","0.215","0.215","0.561","0.561","0.561","0.529","0.529","0.529","0.533","0.533","0.533","0.405","0.405","0.405","0.537","0.537","0.537"
"455","0.395","0.395","0.395","0.386","0.386","0.386","0.172","0.172","0.172","0.547","0.547","0.547","0.512","0.512","0.512","0.515","0.515","0.515","0.43","0.43","0.43","0.53","0.53","0.53"
"456","0.358","0.358","0.358","0.41","0.41","0.41","0.172","0.172","0.172","0.551","0.551","0.551","0.508","0.508","0.508","0.497","0.497","0.497","0.38","0.38","0.38","0.559","0.559","0.559"
"457","0.391","0.391","0.391","0.396","0.396","0.396","0.175","0.175","0.175","0.558","0.558","0.558","0.497","0.497","0.497","0.504","0.504","0.504","0.384","0.384","0.384","0.531","0.531","0.531"
"458","0.362","0.362","0.362","0.421","0.421","0.421","0.139","0.139","0.139","0.553","0.553","0.553","0.511","0.511","0.511","0.533","0.533","0.533","0.44","0.44","0.44","0.495","0.495","0.495"
"459","0.356","0.356","0.356","0.353","0.353","0.353","0.193","0.193","0.193","0.541","0.541","0.541","0.515","0.515","0.515","0.492","0.492","0.492","0.41","0.41","0.41","0.535","0.535","0.535"
"460","0.36","0.36","0.36","0.379","0.379","0.379","0.176","0.176","0.176","0.553","0.553","0.553","0.53","0.53","0.53","0.504","0.504","0.504","0.412","0.412","0.412","0.557","0.557","0.557"
"461","0.372","0.372","0.372","0.381","0.381","0.381","0.222","0.222","0.222","0.538","0.538","0.538","0.497","0.497","0.497","0.487","0.487","0.487","0.415","0.415","0.415","0.527","0.527","0.527"
"462","0.376","0.376","0.376","0.414","0.414","0.414","0.171","0.171","0.171","0.555","0.555","0.555","0.51","0.51","0.51","0.517","0.517","0.517","0.402","0.402","0.402","0.545","0.545","0.545"
"463","0.383","0.383","0.383","0.405","0.405","0.405","0.151","0.151","0.151","0.577","0.577","0.577","0.515","0.515","0.515","0.522","0.522","0.522","0.425","0.425","0.425","0.564","0.564","0.564"
"464","0.391","0.391","0.391","0.391","0.391","0.391","0.183","0.183","0.183","0.575","0.575","0.575","0.537","0.537","0.537","0.501","0.501","0.501","0.449","0.449","0.449","0.525","0.525","0.525"
"465","0.387","0.387","0.387","0.387","0.387","0.387","0.241","0.241","0.241","0.551","0.551","0.551","0.506","0.506","0.506","0.498","0.498","0.498","0.391","0.391","0.391","0.526","0.526","0.526"
"466","0.395","0.395","0.395","0.381","0.381","0.381","0.206","0.206","0.206","0.56","0.56","0.56","0.497","0.497","0.497","0.486","0.486","0.486","0.405","0.405","0.405","0.568","0.568","0.568"
"467","0.396","0.396","0.396","0.369","0.369","0.369","0.207","0.207","0.207","0.54","0.54","0.54","0.51","0.51","0.51","0.512","0.512","0.512","0.403","0.403","0.403","0.523","0.523","0.523"
"468","0.383","0.383","0.383","0.397","0.397","0.397","0.233","0.233","0.233","0.553","0.553","0.553","0.518","0.518","0.518","0.499","0.499","0.499","0.38","0.38","0.38","0.532","0.532","0.532"
"469","0.358","0.358","0.358","0.373","0.373","0.373","0.128","0.128","0.128","0.552","0.552","0.552","0.524","0.524","0.524","0.491","0.491","0.491","0.449","0.449","0.449","0.536","0.536","0.536"
"470","0.384","0.384","0.384","0.41","0.41","0.41","0.211","0.211","0.211","0.529","0.529","0.529","0.509","0.509","0.509","0.512","0.512","0.512","0.409","0.409","0.409","0.56","0.56","0.56"
"471","0.394","0.394","0.394","0.374","0.374","0.374","0.214","0.214","0.214","0.537","0.537","0.537","0.523","0.523","0.523","0.482","0.482","0.482","0.445","0.445","0.445","0.537","0.537","0.537"
"472","0.388","0.388","0.388","0.401","0.401","0.401","0.298","0.298","0.298","0.528","0.528","0.528","0.493","0.493","0.493","0.503","0.503","0.503","0.394","0.394","0.394","0.499","0.499","0.499"
"473","0.409","0.409","0.409","0.371","0.371","0.371","0.248","0.248","0.248","0.564","0.564","0.564","0.519","0.519","0.519","0.488","0.488","0.488","0.432","0.432","0.432","0.565","0.565","0.565"
